tax_id,city,zip,beds,baths,sqft,year_built,property_type,sale_date,sale_price,lat,lng,sale_day,sale_month,sale_year
700445,Copper Mtn,80443,2,2,896,1973,Condominium,2017-06-16,391000,39.5004172,-106.1468014,16,6,2017
700372,Copper Mtn,80443,1,1,645,1973,Condominium,2017-04-14,217000,39.50133579999999,-106.1467078,14,4,2017
700193,Copper Mtn,80443,1,2,826,1973,Condominium,2017-03-10,365000,39.5000785,-106.1468758,10,3,2017
700189,Copper Mtn,80443,2,2,987,1973,Condominium,2017-01-09,399000,39.50133579999999,-106.1467078,9,1,2017
700456,Copper Mtn,80443,2,2,896,1973,Condominium,2017-01-25,340000,39.5004172,-106.1468014,25,1,2017
700165,Copper Mtn,80443,3,3,1407,1973,Condominium,2017-12-29,169459,39.5000785,-106.1468758,29,12,2017
700166,Copper Mtn,80443,1,1,604,1972,Condominium,2017-03-13,250000,39.50048029999999,-106.153003,13,3,2017
700135,Copper Mtn,80443,2,2,1063,1973,Condominium,2017-11-20,420000,39.5021252,-106.15665859999999,20,11,2017
700763,Copper Mtn,80443,2,2,1457,1973,Condominium,2017-06-14,440000,39.5020344,-106.1544639,14,6,2017
700369,Copper Mtn,80443,1,1,645,1973,Condominium,2017-12-01,265000,39.50133579999999,-106.1467078,1,12,2017
700181,Copper Mtn,80443,1,1,771,1972,Condominium,2017-06-20,300000,39.50048029999999,-106.153003,20,6,2017
700416,Copper Mtn,80443,2,2,1195,1973,Condominium,2017-02-17,405000,39.4999083,-106.1455129,17,2,2017
700440,Copper Mtn,80443,1,2,1195,1973,Condominium,2017-09-29,450000,39.4999083,-106.1455129,29,9,2017
700680,Copper Mtn,80443,1,2,596,1980,Condominium,2017-04-27,247000,39.5001819,-106.1475634,27,4,2017
700446,Copper Mtn,80443,2,2,896,1973,Condominium,2017-04-17,376500,39.5004172,-106.1468014,17,4,2017
700641,Copper Mtn,80443,2,2,1004,1979,Condominium,2017-12-08,570000,39.501051200000006,-106.1581723,8,12,2017
6515815,Breckenridge,80424,3,3,2203,2014,Sfr,2017-11-17,832000,39.5323867,-106.0390213,17,11,2017
6516078,Copper Mtn,80443,4,3,1641,1973,Condominium,2017-03-13,535000,39.50029179999999,-106.1471277,13,3,2017
6515679,Dillon,80435,5,6,4910,2018,Sfr,2017-12-27,395000,39.6050405,-105.9311546,27,12,2017
6515509,Silverthorne,80498,3,3,3872,1999,Sfr,2017-07-27,952000,39.6538851,-106.09815,27,7,2017
6515430,Blue River,80424,3,2,2511,2018,Sfr,2017-06-29,144000,39.41993129999999,-106.0432681,29,6,2017
